step,net,cls,kind,frm,to,wire,length_mm,note
85,NRST,CTRL,wire,"J4.NRST (19,30)","U1.NRST (10,17)","wire-wrap 30 AWG, violet",68,
86,nFAULT,CTRL,wire,"U1.PB12 (6,30)","U11.nFT (10,36)","wire-wrap 30 AWG, violet",37,
87,SCL,I2C,wire,"U1.PA15 (17,27)","R9.2 (21,31)","wire-wrap 30 AWG, blue",32,
88,SCL,I2C,link (bend the lead / short bridge),"R9.2 (21,31)","J5.SCL (21,32)",bare lead / short wire,0,
89,SDA,I2C,wire,"U1.PB7 (17,22)","R10.2 (22,31)","wire-wrap 30 AWG, blue",48,
90,SDA,I2C,link (bend the lead / short bridge),"R10.2 (22,31)","J5.SDA (22,32)",bare lead / short wire,0,
91,I_A,SENSE,wire,"R35.1 (27,11)","U1.PA0 (9,17)","wire-wrap 30 AWG, cyan",73,
92,I_A,SENSE,link (bend the lead / short bridge),"R34.1 (27,12)","R35.1 (27,11)",bare lead / short wire,0,
93,I_B,SENSE,wire,"R37.1 (33,11)","U1.PA1 (8,17)","wire-wrap 30 AWG, cyan",91,
94,I_B,SENSE,link (bend the lead / short bridge),"R36.1 (33,12)","R37.1 (33,11)",bare lead / short wire,0,
95,U14_OUT,SENSE,wire,"U14.OUT (29,14)","R34.2 (31,12)","wire-wrap 30 AWG, cyan",22,
96,U15_OUT,SENSE,wire,"U15.OUT (35,14)","R36.2 (37,12)","wire-wrap 30 AWG, cyan",22,
97,VBUS_SENSE,SENSE,link (bend the lead / short bridge),"R4.2 (7,11)","R5.1 (7,12)",bare lead / short wire,0,
98,VBUS_SENSE,SENSE,wire,"R5.1 (7,12)","U1.PA3 (6,17)","wire-wrap 30 AWG, cyan",27,
99,CANH,CAN,wire,"JC1.CANH (36,32)","JC2.CANH (36,36)","wire-wrap 30 AWG, pink",22,
100,CANH,CAN,wire,"U4.CANH (25,36)","JP2.1 (28,36)","wire-wrap 30 AWG, pink",20,
101,CANH,CAN,wire,"JP2.1 (28,36)","JC1.CANH (36,32)","wire-wrap 30 AWG, pink",42,
102,CANL,CAN,wire,"JC1.CANL (36,33)","JC2.CANL (36,37)","wire-wrap 30 AWG, pink",22,
103,CANL,CAN,wire,"U4.CANL (25,37)","R12.2 (33,37)","wire-wrap 30 AWG, pink",32,
104,CANL,CAN,wire,"R12.2 (33,37)","JC1.CANL (36,33)","wire-wrap 30 AWG, pink",30,
105,CAN_RS,CAN,link (bend the lead / short bridge),"U4.Rs (25,35)","R11.1 (26,35)",bare lead / short wire,0,
106,CAN_RX,CAN,wire,"U1.PA11 (13,30)","U4.R (22,38)","wire-wrap 30 AWG, pink",55,
107,CAN_TERM,CAN,link (bend the lead / short bridge),"JP2.2 (28,37)","R12.1 (29,37)",bare lead / short wire,0,
108,CAN_TX,CAN,wire,"U1.PA12 (14,30)","U4.D (22,35)","wire-wrap 30 AWG, pink",45,
109,ADDR0,DBG,wire,"U1.PC13 (15,17)","SW2.1 (16,16)","wire-wrap 30 AWG, grey",17,
110,ADDR1,DBG,wire,"U1.PC14 (14,17)","SW2.2 (17,16)","wire-wrap 30 AWG, grey",22,
111,ADDR2,DBG,wire,"U1.PC15 (13,17)","SW2.3 (18,16)","wire-wrap 30 AWG, grey",27,
112,ADDR3,DBG,wire,"U1.PB2 (4,23)","SW2.4 (19,16)","wire-wrap 30 AWG, grey",68,
113,BOOT0,DBG,wire,"U1.PB8 (17,21)","R6.1 (18,22)","wire-wrap 30 AWG, grey",17,
114,BOOT0,DBG,wire,"R6.1 (18,22)","JP1.1 (21,21)","wire-wrap 30 AWG, grey",22,
115,LED_FAULT,DBG,link (bend the lead / short bridge),"U1.PB9 (17,20)","D4.K (18,20)",bare lead / short wire,0,
116,LED_FAULT_A,DBG,link (bend the lead / short bridge),"D4.A (19,20)","R7.1 (20,20)",bare lead / short wire,0,
117,LED_RUN,DBG,link (bend the lead / short bridge),"U1.PB4 (17,25)","D5.K (18,25)",bare lead / short wire,0,
118,LED_RUN_A,DBG,link (bend the lead / short bridge),"D5.A (19,25)","R8.1 (20,25)",bare lead / short wire,0,
119,SWCLK,DBG,wire,"U1.PA14 (17,28)","J4.SWCLK (19,29)","wire-wrap 30 AWG, grey",20,
120,SWDIO,DBG,wire,"U1.PA13 (17,29)","J4.SWDIO (19,28)","wire-wrap 30 AWG, grey",20,
121,UART3_RX,DBG,wire,"U1.PB11 (5,30)","J8.RX (7,32)","wire-wrap 30 AWG, grey",22,
122,UART3_TX,DBG,wire,"U1.PB10 (4,27)","J8.TX (6,32)","wire-wrap 30 AWG, grey",30,
123,XIN,DBG,wire,"Y1.2 (12,16)","C12.1 (12,14)","wire-wrap 30 AWG, grey",17,
124,XIN,DBG,link (bend the lead / short bridge),"U1.PF0 (12,17)","Y1.2 (12,16)",bare lead / short wire,0,
125,XOUT,DBG,wire,"Y1.1 (11,16)","C13.2 (11,14)","wire-wrap 30 AWG, grey",17,
126,XOUT,DBG,link (bend the lead / short bridge),"U1.PF1 (11,17)","Y1.1 (11,16)",bare lead / short wire,0,
127,GND,GND,flying lead (top side),TP1G.1,U11.VIN-,"hookup 22 AWG solid, black",22,screw into the module's VIN- terminal
128,VM,VM,flying lead (top side),TP1V.1,U11.VIN+,"hookup 22 AWG solid, red",22,screw into the module's VIN+ terminal
129,PH_A_in,PHASE,flying lead (top side),TP1A.1,U14.IP+,"hookup 22 AWG solid, brown",21,screw into IP+
130,PH_A,PHASE,flying lead (top side),U14.IP-,TP1A2.1,"hookup 22 AWG solid, brown",21,screw into IP-
131,PH_B_in,PHASE,flying lead (top side),TP1B.1,U15.IP+,"hookup 22 AWG solid, brown",21,screw into IP+
132,PH_B,PHASE,flying lead (top side),U15.IP-,TP1B2.1,"hookup 22 AWG solid, brown",21,screw into IP-
